id,korean,romanization,english,partOfSpeech,topikLevel,category,labels,lessons,sources,primarySource,sourceGroup,sourceType
kv0494,주말,ju-mal,weekend,noun,2,time-calendar,time-calendar,bab10|bab19|bab20,bab10|bab19|bab20|test-intermediate-1|test-level-1-2-practice|test-level-2-practice|test-reading-skills-set|test-reading-20|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,bab10,bab,workbook+topik
kv0495,내년,nae-nyeon,next year,noun,2,time-calendar,time-calendar|body-health,bab13,bab13|topik-core,bab13,bab,workbook+topik
kv0496,닫다,dat-da,to close,verb,2,daily-life-actions,daily-life-actions,bab03|bab20,bab03|bab20|test-intermediate-1|test-level-2-mock|test-level-2-practice|test-topik-ii-level-3-practice-2|topik-core,bab03,bab,workbook+topik
kv0497,생일,saeng-il,birthday,noun,2,time-calendar,time-calendar|events-celebrations,bab08|bab09|bab10|bab11|bab13|bab16|bab17|bab18|bab20,topik1-vocab|bab08|bab09|bab10|bab11|bab13|bab16|bab17|bab18|bab20|test-level-2-mock|test-reading-skills-set|test-reading-20|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0498,백화점,baek-hoa-jeom,department store,noun,2,places-buildings,places-buildings|travel-movement,bab04|bab10|bab19,topik1-vocab|bab04|bab10|bab19|test-topik-ii-level-3-practice-2|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0499,출발하다,chul-bal-ha-da,to depart / leave,verb,2,travel-movement,travel-movement,bab18,bab18|test-level-1-2-practice|test-level-2-mock|test-intermediate-advanced-2|test-topik-ii-level-3-practice-2|topik-core,bab18,bab,workbook+topik
kv0500,고양이,go-yang-i,cat,noun,2,animals-nature,animals-nature,bab15|bab20,bab15|bab20|topik-core,bab15,bab,workbook+topik
kv0501,가수,ga-su,singer,noun,2,people-occupations,people-occupations,bab01|bab02|bab11,bab01|bab02|bab11|topik-core,bab01,bab,workbook+topik
kv0502,약,yak,medicine,noun,2,body-health,body-health,bab18,bab18|topik-core,bab18,bab,workbook+topik
kv0503,창문,chang-mun,window,noun,2,home-household,home-household|weather-seasons,bab07|bab17,bab07|bab17|test-topik-ii-level-3-practice-2|topik-core,bab07,bab,workbook+topik
kv0504,우유,u-yu,milk,noun,2,food-drink,food-drink,bab02|bab04|bab14|bab17|bab18,topik1-vocab|bab02|bab04|bab14|bab17|bab18|test-reading-20|test-intermediate-reading-3|test-intermediate-reading-1|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0505,십일월,sip-il-ueol,november,noun,2,general-core,general-core,bab08,bab08|topik-core,bab08,bab,workbook+topik
kv0506,빵,bbang,bread,noun,2,food-drink,food-drink|communication-media,bab08|bab10|bab11|bab17|bab18|bab20,topik1-vocab|bab08|bab10|bab11|bab17|bab18|bab20|test-reading-20|test-intermediate-reading-3|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0507,어제,eo-je,yesterday,noun,2,time-calendar,time-calendar,bab10|bab11|bab12|bab13|bab14|bab15|bab16|bab18|bab19,topik1-vocab|bab10|bab11|bab12|bab13|bab14|bab15|bab16|bab18|bab19|test-intermediate-1|test-level-2-mock|test-level-2-practice|test-reading-20|test-intermediate-advanced-2|test-topik-ii-level-3-practice-2|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0508,위험하다,ui-heom-ha-da,to be dangerous,adjective,2,descriptions-qualities,descriptions-qualities,bab18,bab18|test-intermediate-reading-3|topik-core,bab18,bab,workbook+topik
